# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Full Version
# File: D:\v1.21\DE2_70_TOP.csv
# Generated on: Wed Nov 14 23:36:20 2007

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

From,To,Assignment Name,Value,Enabled
,DRAM0_A[11],Location,PIN_AE4,Yes
,DRAM0_A[12],Location,PIN_AF4,Yes
,DRAM0_A[2],Location,PIN_AA6,Yes
,DRAM0_A[3],Location,PIN_AB5,Yes
,DRAM0_A[4],Location,PIN_AB7,Yes
,DRAM0_A[5],Location,PIN_AC4,Yes
,DRAM0_A[6],Location,PIN_AC5,Yes
,DRAM0_A[7],Location,PIN_AC6,Yes
,DRAM0_A[8],Location,PIN_AD4,Yes
,DRAM0_A[9],Location,PIN_AC7,Yes
,DRAM0_BA[0],Location,PIN_AA9,Yes
,DRAM0_BA[1],Location,PIN_AA10,Yes
,DRAM0_CAS_N,Location,PIN_W10,Yes
,DRAM0_CKE,Location,PIN_AA8,Yes
,DRAM0_CLK,Location,PIN_AD6,Yes
,DRAM0_CS_N,Location,PIN_Y10,Yes
,DRAM0_LDQM0,Location,PIN_V9,Yes
,DRAM0_RAS_N,Location,PIN_Y9,Yes
,DRAM0_UDQM1,Location,PIN_AB6,Yes
,DRAM0_WE_N,Location,PIN_W9,Yes
,DRAM1_A[0],Location,PIN_T5,Yes
,DRAM1_A[1],Location,PIN_T6,Yes
,DRAM1_A[10],Location,PIN_T4,Yes
,DRAM1_A[11],Location,PIN_Y4,Yes
,DRAM1_A[12],Location,PIN_Y7,Yes
,DRAM1_A[2],Location,PIN_U4,Yes
,DRAM1_A[3],Location,PIN_U6,Yes
,DRAM1_A[4],Location,PIN_U7,Yes
,DRAM1_A[5],Location,PIN_V7,Yes
,DRAM1_A[6],Location,PIN_V8,Yes
,DRAM1_A[7],Location,PIN_W4,Yes
,DRAM1_A[8],Location,PIN_W7,Yes
,DRAM1_A[9],Location,PIN_W8,Yes
,DRAM1_BA[0],Location,PIN_T7,Yes
,DRAM1_BA[1],Location,PIN_T8,Yes
,DRAM1_CAS_N,Location,PIN_N8,Yes
,DRAM1_CKE,Location,PIN_L10,Yes
,DRAM1_CLK,Location,PIN_G5,Yes
,DRAM1_CS_N,Location,PIN_P9,Yes
,DRAM1_LDQM0,Location,PIN_M10,Yes
,DRAM1_RAS_N,Location,PIN_N9,Yes
,DRAM1_UDQM1,Location,PIN_U8,Yes
,DRAM1_WE_N,Location,PIN_M9,Yes
,ENET_CMD,Location,PIN_B27,Yes
,ENET_CS_N,Location,PIN_C28,Yes
,ENET_D[0],Location,PIN_A23,Yes
,ENET_D[1],Location,PIN_C22,Yes
,ENET_D[10],Location,PIN_B25,Yes
,ENET_D[11],Location,PIN_A25,Yes
,ENET_D[12],Location,PIN_C24,Yes
,ENET_D[13],Location,PIN_B24,Yes
,ENET_D[14],Location,PIN_A24,Yes
,ENET_D[15],Location,PIN_B23,Yes
,ENET_D[2],Location,PIN_B22,Yes
,ENET_D[3],Location,PIN_A22,Yes
,ENET_D[4],Location,PIN_B21,Yes
,ENET_D[5],Location,PIN_A21,Yes
,ENET_D[6],Location,PIN_B20,Yes
,ENET_D[7],Location,PIN_A20,Yes
,ENET_D[8],Location,PIN_B26,Yes
,ENET_D[9],Location,PIN_A26,Yes
,ENET_INT,Location,PIN_C27,Yes
,ENET_IOR_N,Location,PIN_A28,Yes
,ENET_IOW_N,Location,PIN_B28,Yes
,ENET_RESET_N,Location,PIN_B29,Yes
,EXT_CLOCK,Location,PIN_R29,Yes
,FLASH_A[0],Location,PIN_AF24,Yes
,FLASH_A[1],Location,PIN_AG24,Yes
,FLASH_A[10],Location,PIN_AH26,Yes
,FLASH_A[11],Location,PIN_AJ26,Yes
,FLASH_A[12],Location,PIN_AK26,Yes
,FLASH_A[13],Location,PIN_AJ25,Yes
,FLASH_A[14],Location,PIN_AK25,Yes
,FLASH_A[15],Location,PIN_AH24,Yes
,FLASH_A[16],Location,PIN_AG25,Yes
,FLASH_A[17],Location,PIN_AF21,Yes
,FLASH_A[18],Location,PIN_AD21,Yes
,FLASH_A[19],Location,PIN_AK28,Yes
,FLASH_A[2],Location,PIN_AE23,Yes
,FLASH_A[20],Location,PIN_AJ28,Yes
,FLASH_A[21],Location,PIN_AE20,Yes
,FLASH_A[3],Location,PIN_AG23,Yes
,FLASH_A[4],Location,PIN_AF23,Yes
,FLASH_A[5],Location,PIN_AG22,Yes
,FLASH_A[6],Location,PIN_AH22,Yes
,FLASH_A[7],Location,PIN_AF22,Yes
,FLASH_A[8],Location,PIN_AH27,Yes
,FLASH_A[9],Location,PIN_AJ27,Yes
,FLASH_BYTE_N,Location,PIN_Y29,Yes
,FLASH_CE_N,Location,PIN_AG28,Yes
,FLASH_DQ[0],Location,PIN_AF29,Yes
,FLASH_DQ[1],Location,PIN_AE28,Yes
,FLASH_DQ[10],Location,PIN_AD29,Yes
,FLASH_DQ[11],Location,PIN_AC28,Yes
,FLASH_DQ[12],Location,PIN_AC30,Yes
,FLASH_DQ[13],Location,PIN_AB30,Yes
,FLASH_DQ[14],Location,PIN_AA30,Yes
,FLASH_DQ15_AM1,Location,PIN_AE24,Yes
,FLASH_DQ[2],Location,PIN_AE30,Yes
,FLASH_DQ[3],Location,PIN_AD30,Yes
,FLASH_DQ[4],Location,PIN_AC29,Yes
,FLASH_DQ[5],Location,PIN_AB29,Yes
,FLASH_DQ[6],Location,PIN_AA29,Yes
,FLASH_DQ[7],Location,PIN_Y28,Yes
,FLASH_DQ[8],Location,PIN_AF30,Yes
,FLASH_DQ[9],Location,PIN_AE29,Yes
,FLASH_OE_N,Location,PIN_AG29,Yes
,FLASH_RST_N,Location,PIN_AH28,Yes
,FLASH_RY_N,Location,PIN_AH30,Yes
,FLASH_WE_N,Location,PIN_AJ29,Yes
,FLASH_WP_N,Location,PIN_AH29,Yes
,GPIO_CLKIN_N0,Location,PIN_T25,Yes
,GPIO_CLKIN_N1,Location,PIN_AH14,Yes
,GPIO_CLKIN_P0,Location,PIN_T24,Yes
,GPIO_CLKIN_P1,Location,PIN_AG15,Yes
,GPIO_CLKOUT_N0,Location,PIN_H23,Yes
,GPIO_CLKOUT_N1,Location,PIN_AF27,Yes
,GPIO_CLKOUT_P0,Location,PIN_G24,Yes
,GPIO_CLKOUT_P1,Location,PIN_AF28,Yes
,GPIO_0[0],Location,PIN_C30,Yes
,GPIO_0[1],Location,PIN_C29,Yes
,GPIO_0[10],Location,PIN_F29,Yes
,GPIO_0[11],Location,PIN_G29,Yes
,GPIO_0[12],Location,PIN_F30,Yes
,GPIO_0[13],Location,PIN_G30,Yes
,GPIO_0[14],Location,PIN_H29,Yes
,GPIO_0[15],Location,PIN_H30,Yes
,GPIO_0[16],Location,PIN_J29,Yes
,GPIO_0[17],Location,PIN_H25,Yes
,GPIO_0[18],Location,PIN_J30,Yes
,GPIO_0[19],Location,PIN_H24,Yes
,GPIO_0[2],Location,PIN_E28,Yes
,GPIO_0[20],Location,PIN_J25,Yes
,GPIO_0[21],Location,PIN_K24,Yes
,GPIO_0[22],Location,PIN_J24,Yes
,GPIO_0[23],Location,PIN_K25,Yes
,GPIO_0[24],Location,PIN_L22,Yes
,GPIO_0[25],Location,PIN_M21,Yes
,GPIO_0[26],Location,PIN_L21,Yes
,GPIO_0[27],Location,PIN_M22,Yes
,GPIO_0[28],Location,PIN_N22,Yes
,GPIO_0[29],Location,PIN_N25,Yes
,GPIO_0[3],Location,PIN_D29,Yes
,GPIO_0[30],Location,PIN_N21,Yes
,GPIO_0[31],Location,PIN_N24,Yes
,GPIO_1[0],Location,PIN_G27,Yes
,GPIO_1[1],Location,PIN_G28,Yes
,GPIO_1[2],Location,PIN_H27,Yes
,GPIO_1[3],Location,PIN_L24,Yes
,GPIO_1[4],Location,PIN_H28,Yes
,GPIO_1[5],Location,PIN_L25,Yes
,GPIO_1[6],Location,PIN_K27,Yes
,GPIO_1[7],Location,PIN_L28,Yes
,GPIO_0[4],Location,PIN_E27,Yes
,GPIO_1[8],Location,PIN_K28,Yes
,GPIO_1[9],Location,PIN_L27,Yes
,GPIO_1[10],Location,PIN_K29,Yes
,GPIO_1[11],Location,PIN_M25,Yes
,GPIO_1[12],Location,PIN_K30,Yes
,GPIO_1[13],Location,PIN_M24,Yes
,GPIO_1[14],Location,PIN_L29,Yes
,GPIO_1[15],Location,PIN_L30,Yes
,GPIO_1[16],Location,PIN_P26,Yes
,GPIO_1[17],Location,PIN_P28,Yes
,GPIO_0[5],Location,PIN_D28,Yes
,GPIO_1[18],Location,PIN_P25,Yes
,GPIO_1[19],Location,PIN_P27,Yes
,GPIO_1[20],Location,PIN_M29,Yes
,GPIO_1[21],Location,PIN_R26,Yes
,GPIO_1[22],Location,PIN_M30,Yes
,GPIO_1[23],Location,PIN_R27,Yes
,GPIO_1[24],Location,PIN_P24,Yes
,GPIO_1[25],Location,PIN_N28,Yes
,GPIO_1[26],Location,PIN_P23,Yes
,GPIO_1[27],Location,PIN_N29,Yes
,GPIO_0[6],Location,PIN_E29,Yes
,GPIO_1[28],Location,PIN_R23,Yes
,GPIO_1[29],Location,PIN_P29,Yes
,GPIO_1[30],Location,PIN_R22,Yes
,GPIO_1[31],Location,PIN_P30,Yes
,GPIO_0[7],Location,PIN_G25,Yes
,GPIO_0[8],Location,PIN_E30,Yes
,GPIO_0[9],Location,PIN_G26,Yes
,HEX0_D[0],Location,PIN_AE8,Yes
,HEX0_D[1],Location,PIN_AF9,Yes
,HEX0_D[2],Location,PIN_AH9,Yes
,HEX0_D[3],Location,PIN_AD10,Yes
,HEX0_D[4],Location,PIN_AF10,Yes
,HEX0_D[5],Location,PIN_AD11,Yes
,HEX0_D[6],Location,PIN_AD12,Yes
,HEX0_D[7],Location,PIN_AF12,Yes
,HEX1_D[0],Location,PIN_AG13,Yes
,HEX1_D[1],Location,PIN_AE16,Yes
,HEX1_D[2],Location,PIN_AF16,Yes
,HEX1_D[3],Location,PIN_AG16,Yes
,HEX1_D[4],Location,PIN_AE17,Yes
,HEX1_D[5],Location,PIN_AF17,Yes
,HEX1_D[6],Location,PIN_AD17,Yes
,HEX1_D[7],Location,PIN_AC17,Yes
,HEX2_D[0],Location,PIN_AE7,Yes
,HEX2_D[1],Location,PIN_AF7,Yes
,HEX2_D[2],Location,PIN_AH5,Yes
,HEX2_D[3],Location,PIN_AG4,Yes
,HEX2_D[4],Location,PIN_AB18,Yes
,HEX2_D[5],Location,PIN_AB19,Yes
,HEX2_D[6],Location,PIN_AE19,Yes
,HEX2_D[7],Location,PIN_AC19,Yes
,HEX3_D[0],Location,PIN_P6,Yes
,HEX3_D[1],Location,PIN_P4,Yes
,HEX3_D[2],Location,PIN_N10,Yes
,HEX3_D[3],Location,PIN_N7,Yes
,HEX3_D[4],Location,PIN_M8,Yes
,HEX3_D[5],Location,PIN_M7,Yes
,HEX3_D[6],Location,PIN_M6,Yes
,HEX3_D[7],Location,PIN_M4,Yes
,HEX4_D[0],Location,PIN_P1,Yes
,HEX4_D[1],Location,PIN_P2,Yes
,HEX4_D[2],Location,PIN_P3,Yes
,HEX4_D[3],Location,PIN_N2,Yes
,HEX4_D[4],Location,PIN_N3,Yes
,HEX4_D[5],Location,PIN_M1,Yes
,HEX4_D[6],Location,PIN_M2,Yes
,HEX4_D[7],Location,PIN_L6,Yes
,HEX5_D[0],Location,PIN_M3,Yes
,HEX5_D[1],Location,PIN_L1,Yes
,HEX5_D[2],Location,PIN_L2,Yes
,HEX5_D[3],Location,PIN_L3,Yes
,HEX5_D[4],Location,PIN_K1,Yes
,HEX5_D[5],Location,PIN_K4,Yes
,HEX5_D[6],Location,PIN_K5,Yes
,HEX5_D[7],Location,PIN_K6,Yes
,HEX6_D[0],Location,PIN_H6,Yes
,HEX6_D[1],Location,PIN_H4,Yes
,HEX6_D[2],Location,PIN_H7,Yes
,HEX6_D[3],Location,PIN_H8,Yes
,HEX6_D[4],Location,PIN_G4,Yes
,HEX6_D[5],Location,PIN_F4,Yes
,HEX6_D[6],Location,PIN_E4,Yes
,HEX6_D[7],Location,PIN_K2,Yes
,HEX7_D[0],Location,PIN_K3,Yes
,HEX7_D[1],Location,PIN_J1,Yes
,HEX7_D[2],Location,PIN_J2,Yes
,HEX7_D[3],Location,PIN_H1,Yes
,HEX7_D[4],Location,PIN_H2,Yes
,HEX7_D[5],Location,PIN_H3,Yes
,HEX7_D[6],Location,PIN_G1,Yes
,HEX7_D[7],Location,PIN_G2,Yes
,I2C_SCLK,Location,PIN_J18,Yes
,2C_SDAT,Location,PIN_H18,Yes
,IRDA_RXD,Location,PIN_W22,Yes
,IRDA_TXD,Location,PIN_W21,Yes
,KEY[0],Location,PIN_T29,Yes
,KEY[1],Location,PIN_T28,Yes
,KEY[2],Location,PIN_U30,Yes
,KEY[3],Location,PIN_U29,Yes
,LCD_BLON,Location,PIN_G3,Yes
,LCD_D[0],Location,PIN_E1,Yes
,LCD_D[1],Location,PIN_E3,Yes
,LCD_D[2],Location,PIN_D2,Yes
,LCD_D[3],Location,PIN_D3,Yes
,LCD_D[4],Location,PIN_C1,Yes
,LCD_D[5],Location,PIN_C2,Yes
,LCD_D[6],Location,PIN_C3,Yes
,LCD_D[7],Location,PIN_B2,Yes
,LCD_EN,Location,PIN_E2,Yes
,LCD_ON,Location,PIN_F1,Yes
,LCD_RS,Location,PIN_F2,Yes
,LCD_RW,Location,PIN_F3,Yes
,LEDR[0],Location,PIN_AJ6,Yes
,LEDR[1],Location,PIN_AK5,Yes
,LEDR[10],Location,PIN_AC13,Yes
,LEDR[11],Location,PIN_AB13,Yes
,LEDR[12],Location,PIN_AC12,Yes
,LEDR[13],Location,PIN_AB12,Yes
,LEDR[14],Location,PIN_AC11,Yes
,LEDR[15],Location,PIN_AD9,Yes
,LEDR[16],Location,PIN_AD8,Yes
,LEDR[17],Location,PIN_AJ7,Yes
,LEDG[8],Location,PIN_AC14,Yes
,LEDG[0],Location,PIN_W27,Yes
,LEDR[2],Location,PIN_AJ5,Yes
,LEDG[1],Location,PIN_W25,Yes
,LEDG[2],Location,PIN_W23,Yes
,LEDG[3],Location,PIN_Y27,Yes
,LEDG[4],Location,PIN_Y24,Yes
,LEDG[5],Location,PIN_Y23,Yes
,LEDG[6],Location,PIN_AA27,Yes
,LEDG[7],Location,PIN_AA24,Yes
,LEDR[3],Location,PIN_AJ4,Yes
,LEDR[4],Location,PIN_AK3,Yes
,LEDR[5],Location,PIN_AH4,Yes
,LEDR[6],Location,PIN_AJ3,Yes
,LEDR[7],Location,PIN_AJ2,Yes
,LEDR[8],Location,PIN_AH3,Yes
,LEDR[9],Location,PIN_AD14,Yes
,OTG_A[0],Location,PIN_E9,Yes
,OTG_A[1],Location,PIN_D8,Yes
,OTG_CS_N,Location,PIN_E10,Yes
,TG_D[0],Location,PIN_H10,Yes
,TG_D[1],Location,PIN_G9,Yes
,TG_D[10],Location,PIN_D6,Yes
,TG_D[11],Location,PIN_E7,Yes
,TG_D[12],Location,PIN_D7,Yes
,TG_D[13],Location,PIN_E8,Yes
,TG_D[14],Location,PIN_D9,Yes
,TG_D[15],Location,PIN_G10,Yes
,TG_D[2],Location,PIN_G11,Yes
,TG_D[3],Location,PIN_F11,Yes
,TG_D[4],Location,PIN_J12,Yes
,TG_D[5],Location,PIN_H12,Yes
,TG_D[6],Location,PIN_H13,Yes
,TG_D[7],Location,PIN_G13,Yes
,TG_D[8],Location,PIN_D4,Yes
,TG_D[9],Location,PIN_D5,Yes
,OTG_DACK0_N,Location,PIN_D12,Yes
,OTG_DACK1_N,Location,PIN_E12,Yes
,TG_DREQ0,Location,PIN_G12,Yes
,TG_DREQ1,Location,PIN_F12,Yes
,TG_FSPEED,Location,PIN_F7,Yes
,TG_INT0,Location,PIN_F13,Yes
,TG_INT1,Location,PIN_J13,Yes
,TG_LSPEED,Location,PIN_F8,Yes
,OTG_OE_N,Location,PIN_D10,Yes
,OTG_RESET_N,Location,PIN_H14,Yes
,OTG_WE_N,Location,PIN_E11,Yes
,PS2_KBCLK,Location,PIN_F24,Yes
,PS2_KBDAT,Location,PIN_E24,Yes
,PS2_MSCLK,Location,PIN_D26,Yes
,PS2_MSDAT,Location,PIN_D25,Yes
,SD_CLK,Location,PIN_T26,Yes
,SD_CMD,Location,PIN_W28,Yes
,SD_DAT,Location,PIN_W29,Yes
,SD_DAT3,Location,PIN_Y30,Yes
,SRAM_A[0],Location,PIN_AG8,Yes
,SRAM_A[1],Location,PIN_AF8,Yes
,SRAM_A[10],Location,PIN_AF14,Yes
,SRAM_A[11],Location,PIN_AG14,Yes
,SRAM_A[12],Location,PIN_AE15,Yes
,SRAM_A[13],Location,PIN_AF15,Yes
,SRAM_A[14],Location,PIN_AC16,Yes
,SRAM_A[15],Location,PIN_AF20,Yes
,SRAM_A[16],Location,PIN_AG20,Yes
,SRAM_A[17],Location,PIN_AE11,Yes
,SRAM_A[18],Location,PIN_AF11,Yes
,SRAM_A[2],Location,PIN_AH7,Yes
,SRAM_A[3],Location,PIN_AG7,Yes
,SRAM_A[4],Location,PIN_AG6,Yes
,SRAM_A[5],Location,PIN_AG5,Yes
,SRAM_A[6],Location,PIN_AE12,Yes
,SRAM_A[7],Location,PIN_AG12,Yes
,SRAM_A[8],Location,PIN_AD13,Yes
,SRAM_A[9],Location,PIN_AE13,Yes
,SRAM_ADSC_N,Location,PIN_AG17,Yes
,SRAM_ADSP_N,Location,PIN_AC18,Yes
,SRAM_ADV_N,Location,PIN_AD16,Yes
,SRAM_BE_N[0],Location,PIN_AC21,Yes
,SRAM_BE_N[1],Location,PIN_AC20,Yes
,SRAM_BE_N[2],Location,PIN_AD20,Yes
,SRAM_BE_N[3],Location,PIN_AH20,Yes
,SRAM_CE1_N,Location,PIN_AH19,Yes
,SRAM_CE2,Location,PIN_AG19,Yes
,SRAM_CE3_N,Location,PIN_AD22,Yes
,SRAM_CLK,Location,PIN_AD7,Yes
,SRAM_D[7]A[0],Location,PIN_AK9,Yes
,SRAM_D[7]A[1],Location,PIN_AJ23,Yes
,SRAM_D[7]A[2],Location,PIN_AK20,Yes
,SRAM_D[7]A[3],Location,PIN_AJ9,Yes
,SRAM_DQ[0],Location,PIN_AH10,Yes
,SRAM_DQ[1],Location,PIN_AJ10,Yes
,SRAM_DQ[10],Location,PIN_AH17,Yes
,SRAM_DQ[11],Location,PIN_AJ18,Yes
,SRAM_DQ[12],Location,PIN_AH18,Yes
,SRAM_DQ[13],Location,PIN_AK19,Yes
,SRAM_DQ[14],Location,PIN_AJ19,Yes
,SRAM_DQ[15],Location,PIN_AK23,Yes
,SRAM_DQ[16],Location,PIN_AJ20,Yes
,SRAM_DQ[17],Location,PIN_AK21,Yes
,SRAM_DQ[18],Location,PIN_AJ21,Yes
,SRAM_DQ[19],Location,PIN_AK22,Yes
,SRAM_DQ[2],Location,PIN_AK10,Yes
,SRAM_DQ[20],Location,PIN_AJ22,Yes
,SRAM_DQ[21],Location,PIN_AH15,Yes
,SRAM_DQ[22],Location,PIN_AJ15,Yes
,SRAM_DQ[23],Location,PIN_AJ16,Yes
,SRAM_DQ[24],Location,PIN_AK14,Yes
,SRAM_DQ[25],Location,PIN_AJ14,Yes
,SRAM_DQ[26],Location,PIN_AJ13,Yes
,SRAM_DQ[27],Location,PIN_AH13,Yes
,SRAM_DQ[28],Location,PIN_AK12,Yes
,SRAM_DQ[29],Location,PIN_AK7,Yes
,SRAM_DQ[3],Location,PIN_AJ11,Yes
,SRAM_DQ[30],Location,PIN_AJ8,Yes
,SRAM_DQ[31],Location,PIN_AK8,Yes
,SRAM_DQ[4],Location,PIN_AK11,Yes
,SRAM_DQ[5],Location,PIN_AH12,Yes
,SRAM_DQ[6],Location,PIN_AJ12,Yes
,SRAM_DQ[7],Location,PIN_AH16,Yes
,SRAM_DQ[8],Location,PIN_AK17,Yes
,SRAM_DQ[9],Location,PIN_AJ17,Yes
,SRAM_GW_N,Location,PIN_AG18,Yes
,SRAM_OE_N,Location,PIN_AD18,Yes
,SRAM_WE_N,Location,PIN_AF18,Yes
,SW[0],Location,PIN_AA23,Yes
,SW[1],Location,PIN_AB26,Yes
,SW[10],Location,PIN_W5,Yes
,SW[11],Location,PIN_V10,Yes
,SW[12],Location,PIN_U9,Yes
,SW[13],Location,PIN_T9,Yes
,SW[14],Location,PIN_L5,Yes
,SW[15],Location,PIN_L4,Yes
,SW[16],Location,PIN_L7,Yes
,SW[17],Location,PIN_L8,Yes
,SW[2],Location,PIN_AB25,Yes
,SW[3],Location,PIN_AC27,Yes
,SW[4],Location,PIN_AC26,Yes
,SW[5],Location,PIN_AC24,Yes
,SW[6],Location,PIN_AC23,Yes
,SW[7],Location,PIN_AD25,Yes
,SW[8],Location,PIN_AD24,Yes
,SW[9],Location,PIN_AE27,Yes
,TD1_CLK27,Location,PIN_G15,Yes
,TD1_D[0],Location,PIN_A6,Yes
,TD1_D[1],Location,PIN_B6,Yes
,TD1_D[2],Location,PIN_A5,Yes
,TD1_D[3],Location,PIN_B5,Yes
,TD1_D[4],Location,PIN_B4,Yes
,TD1_D[5],Location,PIN_C4,Yes
,TD1_D[6],Location,PIN_A3,Yes
,TD1_D[7],Location,PIN_B3,Yes
,TD1_HS,Location,PIN_E13,Yes
,TD1_RESET_N,Location,PIN_D14,Yes
,TD1_VS,Location,PIN_E14,Yes
,TD2_CLK27,Location,PIN_H15,Yes
,TD2_D[0],Location,PIN_C10,Yes
,TD2_D[1],Location,PIN_A9,Yes
,TD2_D[2],Location,PIN_B9,Yes
,TD2_D[3],Location,PIN_C9,Yes
,TD2_D[4],Location,PIN_A8,Yes
,TD2_D[5],Location,PIN_B8,Yes
,TD2_D[6],Location,PIN_A7,Yes
,TD2_D[7],Location,PIN_B7,Yes
,TD2_HS,Location,PIN_E15,Yes
,TD2_RESET_N,Location,PIN_B10,Yes
,TD2_VS,Location,PIN_D15,Yes
,UART_CTS,Location,PIN_G22,Yes
,UART_RTS,Location,PIN_F23,Yes
,UART_RXD,Location,PIN_D21,Yes
,UART_TXD,Location,PIN_E21,Yes
,VGA_B[0],Location,PIN_B16,Yes
,VGA_B[1],Location,PIN_C16,Yes
,VGA_B[2],Location,PIN_A17,Yes
,VGA_B[3],Location,PIN_B17,Yes
,VGA_B[4],Location,PIN_C18,Yes
,VGA_B[5],Location,PIN_B18,Yes
,VGA_B[6],Location,PIN_B19,Yes
,VGA_B[7],Location,PIN_A19,Yes
,VGA_B[8],Location,PIN_C19,Yes
,VGA_B[9],Location,PIN_D19,Yes
,VGA_BLANK_N,Location,PIN_C15,Yes
,VGA_CLOCK,Location,PIN_D24,Yes
,VGA_G[0],Location,PIN_A10,Yes
,VGA_G[1],Location,PIN_B11,Yes
,VGA_G[2],Location,PIN_A11,Yes
,VGA_G[3],Location,PIN_C12,Yes
,VGA_G[4],Location,PIN_B12,Yes
,VGA_G[5],Location,PIN_A12,Yes
,VGA_G[6],Location,PIN_C13,Yes
,VGA_G[7],Location,PIN_B13,Yes
,VGA_G[8],Location,PIN_B14,Yes
,VGA_G[9],Location,PIN_A14,Yes
,VGA_HS,Location,PIN_J19,Yes
,VGA_R[0],Location,PIN_D23,Yes
,VGA_R[1],Location,PIN_E23,Yes
,VGA_R[2],Location,PIN_E22,Yes
,VGA_R[3],Location,PIN_D22,Yes
,VGA_R[4],Location,PIN_H21,Yes
,VGA_R[5],Location,PIN_G21,Yes
,VGA_R[6],Location,PIN_H20,Yes
,VGA_R[7],Location,PIN_F20,Yes
,VGA_R[8],Location,PIN_E20,Yes
,VGA_R[9],Location,PIN_G20,Yes
,VGA_SYNC_N,Location,PIN_B15,Yes
,VGA_VS,Location,PIN_H19,Yes
,|,Partition Hierarchy,no_file_for_top_partition,Yes
